genome,ch4_rho,ch4_pval,pval_adj,Domain,Phylum,Class,Order,Family,Genus,Species,Value,Direction
20140700_E14_11,0.631578947368421,0.0037259598816399286,0.0037259598816399286,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Bog-793,g__Fen-455,s__Fen-455 sp003140595,-11.5298135933898,Sig. Low
20140700_S11_7,-0.5220588235294118,0.03158482691632214,0.03158482691632214,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__Baltobacterales,f__Baltobacteraceae,g__Hemerobacter,s__Hemerobacter limicola,0.612985205422656,Insignificant
3300037360_7,0.5824175824175825,0.028854655357671843,0.028854655357671843,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Roseiarcus,s__,-0.446963701758529,Insignificant
Bog.None.R1.T0.trimmomatic.megahit_bin.118_76.60_1.35,-0.7212121212121212,0.018573155089460114,0.018573155089460114,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__JABDGR01,g__JABDGR01,s__,NA,NA
Bog.None.R3.T0.JGI.BFC.metaspades_bin.162_97.41_2.35,-0.7090909090909091,0.021665923367532258,0.021665923367532258,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__,NA,NA
Bog.None.R3.T0.JGI.BFC.metaspades_bin.34_94.27_1.08,-0.6818181818181818,0.020842853610945067,0.020842853610945067,d__Bacteria,p__Planctomycetota,c__UBA11346,o__UBA11346,f__UBA11346,g__BOG-1363,s__BOG-1363 sp003136555,NA,NA
Bog.None.R3.T0.trimmomatic.megahit_bin.383_96.18_3.47,-0.6848484848484848,0.028882797506732727,0.028882797506732727,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Bog-1198,s__Bog-1198 sp003137095,NA,NA
Bog.None.R3.T0.trimmomatic.megahit_bin.67_73.32_6.98,-0.8,0.009627924725379877,0.009627924725379877,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Methylacidiphilales,f__UBA1321,g__JABDGH01,s__,NA,NA
Bog.Unlabelled.R2.T1.F3.JGI.BFC.metaspades_bin.31_72.82_1.94,-0.7333333333333333,0.01580059625057162,0.01580059625057162,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__UBA5172,s__,NA,NA
Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.69_94.23_0.86,0.5706914344685242,0.013384281348823412,0.013384281348823412,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__,NA,NA
Bog.Unlabelled.R2.T3.F3.trimmomatic.metaspades_bin.116_93.32_2.25,-0.7454545454545455,0.008454728885061602,0.008454728885061602,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__UBA6159,s__,NA,NA
Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.22_74.64_1.66,-0.7090909090909091,0.021665923367532258,0.021665923367532258,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__CAJCJG01,s__,NA,NA
20140700_E22_12,0.6503496503496503,0.02203419093236536,0.02203419093236536,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__UBA8260,f__UBA8260,g__UBA8260,s__UBA8260 sp003135255,0.0807169959822243,Insignificant
20110800_S3S_27,-0.7454545454545455,0.01333014631544005,0.01333014631544005,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bog-113,s__Bog-113 sp003136675,0.0887589207223282,Insignificant
Bog.None.R1.T0.trimmomatic.megahit_bin.149_91.22_4.05,-0.7333333333333333,0.02455415007146966,0.02455415007146966,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__UBA11358,g__UBA11358,s__,NA,NA
