"","SampleID__","Month__","Year__","Date__","FieldSampling__","Habitat__","Site__","Core__","GPS__","image_url__","DepthCode__","DepthMin__","DepthMax__","DepthAvg__","metaG_ACE__","metaG_JGI_HiSeq__","metaG_JGI_NovaSeq__","FTIR__","FTICRMS__","EEMS__","ALD.cm__","WTD.cm_neg.is.below.sfc__","T, air (C)","T, soil (C)","Weather Conditions on Day of Coring","Conductivity (uS)","Redox Potential (ORP) (uncalibrated; relative values only)","O2 (%)","pH (porewater)","pH (peat)","BulkDensity","percentWater_wt","CH4.mM__","CO2.mM__","CH4.percent","CO2.percent","d13C_CH4__","d13C_CO2__","dD_CH4__","dD_H2O","d18O_H2O","D14C_DIC","DOC.mM__","TN.mM__","Acetate.uM__","Propionate.uM__","Butyrate.uM__","Formate.uM__","Sulfate.uM__","Phosphate.uM__","Nitrate.uM__","Ammonia.uM__","Ca.uM","Mg.uM","C.percent__","N.percent__","d13C_peat__","d15N_peat__","D14C_peat__","pool.DOM","pool.dD_CH4","UpdateDate__.DepthInfo","UpdateDate__.Biogeochemistry","Notes__.DepthInfo","Notes__.Biogeochemistry"
"28fedb9a-217b-4d34-bdba-aba60fbb3835","201009_P1_12-15",9,2010,"2010-09-01","2010-08","Palsa","Palsa Autochamber Site","1","N 68 21.207, E 19 02.827","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-1-sectioned.JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-1-sectioned.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-1.JPG.jpg']","M",12,15,13.5,NA,NA,NA,NA,NA,NA,"Not Detected","Not Detected",NA,NA,NA,NA,NA,NA,NA,NA,NA,73.09322034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.21801284,1.627066454,-26.70845441,1.242149657,NA,NA,NA,20200924,20200924,NA,NA
"c4d1d6c1-6459-43bd-b961-7ef04be0f104","201009_P1_22-25",9,2010,"2010-09-01","2010-08","Palsa","Palsa Autochamber Site","1","N 68 21.207, E 19 02.827","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-1-sectioned.JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-1-sectioned.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-1.JPG.jpg']","D",22,25,23.5,NA,NA,NA,NA,NA,NA,"Not Detected","Not Detected",NA,NA,NA,NA,NA,NA,NA,NA,NA,56.34178905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.03575282,1.098512205,-27.62998706,0.284529349,NA,NA,NA,20200924,20200924,NA,NA
"7a93c215-3980-4eee-b877-52f8e2737272","201009_P2_01-04",9,2010,"2010-09-01","2010-08","Palsa","Palsa Autochamber Site","2","N 68 21.210, E 19 02.839","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2-pic2.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2-surface.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2_pic3.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2_pic4_sectioned.JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2_pic6_sectioned.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2_pic7_sectioned.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2_pic8_sectioned.JPG_copy.jpg']","S",1,4,2.5,NA,NA,NA,NA,NA,NA,"42","Not Detected",2.95,NA,NA,NA,NA,NA,NA,NA,NA,77.34693878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.31143808,1.224522738,-27.38654575,-1.273797793,NA,NA,NA,20200924,20200924,"Notes: cored to base of active layer",NA
"aea94f5e-1ad7-478b-af01-5985d88c997b","201009_P2_12-15",9,2010,"2010-09-01","2010-08","Palsa","Palsa Autochamber Site","2","N 68 21.210, E 19 02.839","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2-pic2.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2-surface.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2_pic3.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2_pic4_sectioned.JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2_pic6_sectioned.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2_pic7_sectioned.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2_pic8_sectioned.JPG_copy.jpg']","M",12,15,13.5,NA,NA,NA,NA,NA,NA,"42","Not Detected",2.95,NA,NA,NA,NA,NA,NA,NA,NA,75.93984962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.26384717,1.514685255,-25.89511791,3.503576843,NA,NA,NA,20200924,20200924,NA,NA
"8717a8b5-0922-4668-a032-64386827d406","201009_P2_22-25",9,2010,"2010-09-01","2010-08","Palsa","Palsa Autochamber Site","2","N 68 21.210, E 19 02.839","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2-pic2.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2-surface.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2_pic3.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2_pic4_sectioned.JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2_pic6_sectioned.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2_pic7_sectioned.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-2_pic8_sectioned.JPG_copy.jpg']","D",22,25,23.5,NA,NA,NA,NA,NA,NA,"42","Not Detected",2.95,NA,NA,NA,NA,NA,NA,NA,NA,72.82100854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.70143431,2.224384435,-26.88660496,2.752693301,NA,NA,NA,20200924,20200924,NA,NA
"1491f2f3-2e39-4241-9ac4-ac8796f23924","201009_P3_01-04",9,2010,"2010-09-01","2010-08","Palsa","Palsa Autochamber Site","3","N 68 21.208, E 19 02.840","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-3_pic1.JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-3_pic1.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-3_pic2_sectioned.JPG.jpg']","S",1,4,2.5,NA,NA,NA,NA,NA,NA,"50.5","Not Detected",NA,NA,NA,NA,NA,NA,NA,NA,NA,75.79298831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20200924,20200924,"Notes: core was 39cm deep, hole was 40.5cm (so 1.5cm compaction)",NA
"6244ce85-d911-430c-8130-79ee32831552","201009_P3_12-15",9,2010,"2010-09-01","2010-08","Palsa","Palsa Autochamber Site","3","N 68 21.208, E 19 02.840","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-3_pic1.JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-3_pic1.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-3_pic2_sectioned.JPG.jpg']","M",12,15,13.5,NA,NA,NA,NA,NA,NA,"50.5","Not Detected",NA,NA,NA,NA,NA,NA,NA,NA,NA,71.79487179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20200924,20200924,"Notes: looks like core #2 but had thicker active layer",NA
"2413ecc2-4e0d-4321-980b-696da7d1ee1b","201009_P3_22-25",9,2010,"2010-09-01","2010-08","Palsa","Palsa Autochamber Site","3","N 68 21.208, E 19 02.840","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-3_pic1.JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-3_pic1.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-3_pic2_sectioned.JPG.jpg']","D",22,25,23.5,NA,NA,NA,NA,NA,NA,"50.5","Not Detected",NA,NA,NA,NA,NA,NA,NA,NA,NA,76.47058824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20200924,20200924,NA,"notes_Suzanne: d13C in incubations calculated as the slope of d13C*amount vs. amount across multiple time points."
"c80f3511-6f7b-4043-9314-fd1bec7403d9","201009_S1_01-04",9,2010,"2010-09-01","2010-08","Bog","Sphagnum Autochamber Site","1","N 68 21.200, E 19 02.852","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/S-1_pic1_pieces.JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/S-1_pic1_pieces.JPG.jpg']","S",1,4,2.5,NA,NA,NA,NA,NA,NA,NA,"-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,94.63601533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7063133,0.591669128,-25.70577466,-0.812540761,NA,NA,NA,20200924,20200924,"Notes: very different from yesterday's Sphagnum core, surface height was variable by ~ +/- 3cm","notes_Suzanne: d13C in incubations calculated as the d13C value on day 50 of the incubation."
"1aab381f-e505-4b5a-be17-5601d7f440a9","201009_S1_07-10",9,2010,"2010-09-01","2010-08","Bog","Sphagnum Autochamber Site","1","N 68 21.200, E 19 02.852","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/S-1_pic1_pieces.JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/S-1_pic1_pieces.JPG.jpg']","M",7,10,8.5,NA,NA,NA,NA,NA,NA,NA,"-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,93.25997249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.13090717,1.16614012,-25.01462517,-0.231337396,NA,NA,NA,20200924,20200924,NA,"notes_Suzanne: d13C in incubations calculated as the d13C value on day 50 of the incubation."
"2d323a0d-bbd6-4c68-99ea-19d8815403d0","201009_S1_13-16",9,2010,"2010-09-01","2010-08","Bog","Sphagnum Autochamber Site","1","N 68 21.200, E 19 02.852","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/S-1_pic1_pieces.JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/S-1_pic1_pieces.JPG.jpg']","D",13,16,14.5,NA,NA,NA,"X",NA,NA,NA,"-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,90.28985507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.46058451,1.46429893,-25.00343247,0.37034461,NA,NA,NA,20200924,20200924,"Notes: note break between Sphagnum Core #1 and #2 and 3 - did Eriophorum sites in between.","notes_Suzanne: d13C in incubations calculated as the d13C value on day 50 of the incubation."
"63b7e827-ad35-401c-99e9-32ba8fbf1f32","201009_S2_01-04",9,2010,"2010-09-01","2010-08","Bog","Sphagnum Autochamber Site","2","N 68 21.198, E 19 02.847","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/S-2-hole_(took_from_side_of_hole).JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/S-2-hole_(took_from_side_of_hole).JPG.jpg']","S",1,4,2.5,NA,NA,NA,NA,NA,NA,"Below Detection (>95)","-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,94.33272395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.96300971,0.671151363,-24.55758975,-0.33470578,NA,NA,NA,20200924,20200924,"Notes: LOTS of Sphagnum in this core, and very fibrous","notes_Suzanne: d13C in incubations calculated as the d13C value on day 50 of the incubation."
"f9ef04e8-f702-4944-8138-24542768503b","201009_S2_07-10",9,2010,"2010-09-01","2010-08","Bog","Sphagnum Autochamber Site","2","N 68 21.198, E 19 02.847","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/S-2-hole_(took_from_side_of_hole).JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/S-2-hole_(took_from_side_of_hole).JPG.jpg']","M",7,10,8.5,NA,NA,NA,NA,NA,NA,"Below Detection (>95)","-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,90.71895425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.79709218,0.839336507,-25.7552091,0.383021865,NA,NA,NA,20200924,20200924,"Notes: smelled Sulfur when cored here","notes_Suzanne: d13C in incubations calculated as the d13C value on day 50 of the incubation."
"35f645b4-979b-454d-8a54-815c9a42391a","201009_S2_13-16",9,2010,"2010-09-01","2010-08","Bog","Sphagnum Autochamber Site","2","N 68 21.198, E 19 02.847","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/S-2-hole_(took_from_side_of_hole).JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/S-2-hole_(took_from_side_of_hole).JPG.jpg']","D",13,16,14.5,NA,NA,NA,NA,NA,NA,"Below Detection (>95)","-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,92.86898839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.84613417,0.917992349,-25.31403001,-0.049955138,NA,NA,NA,20200924,20200924,"Notes: cored this core earlier but did not remove, not remvoing and taking material from side of core because of poor core integrity.","notes_Suzanne: d13C in incubations calculated as the d13C value on day 50 of the incubation."
"8352ed49-a983-4d52-9a5e-f76f4131e007","201009_S3_01-04",9,2010,"2010-09-01","2010-08","Bog","Sphagnum Autochamber Site","3","N 68 21.203, E 19 02.855",NA,"S",1,4,2.5,NA,NA,NA,NA,NA,NA,NA,"-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,94.25981873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20200924,20200924,"Notes: smelled Sulfur when cored here","notes_Suzanne: d13C in incubations calculated as the d13C value on day 50 of the incubation."
"2a6ad71a-d184-4ad5-bc00-59a832fc0286","201009_S3_10-13",9,2010,"2010-09-01","2010-08","Bog","Sphagnum Autochamber Site","3","N 68 21.203, E 19 02.855",NA,"M",10,13,11.5,NA,NA,NA,NA,NA,NA,NA,"-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,93.51988218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20200924,20200924,NA,"notes_Suzanne: d13C in incubations calculated as the d13C value on day 50 of the incubation."
"341d868c-6f1b-46e6-aa0c-66c0ae7e4ad2","201009_S3_16-19",9,2010,"2010-09-01","2010-08","Bog","Sphagnum Autochamber Site","3","N 68 21.203, E 19 02.855",NA,"D",16,19,17.5,NA,NA,NA,NA,NA,NA,NA,"-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,94.30656934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20200924,20200924,NA,"notes_Suzanne: d13C in incubations calculated as the d13C value on day 50 of the incubation."
