pathway,SampleID__,genome,subpathway,tpm
sulfur_redox,MainAutochamber.201206_E_1_11to14,20110600_S1D_11,sulfur_redox-assimilatory_sulfate_reduction,0.04575505486382283
acetogenesis,MainAutochamber.201206_E_1_11to14,20110600_S3M_2,acetogenesis-simple,0.08305593022375346
galactose_degradation,MainAutochamber.201206_E_1_11to14,20110600_S3M_2,galactose_degradation-all,0.02567446652233318
galacturonic_acid_degradation,MainAutochamber.201206_E_1_11to14,20110600_S3M_2,galacturonic_acid_degradation-all,0.05370593324999531
lactate_fermentation,MainAutochamber.201206_E_1_11to14,20110600_S3M_2,lactate_fermentation-all,0.5747477067104761
acetogenesis,MainAutochamber.201206_E_1_11to14,20110700_E1D_5,acetogenesis-simple,3.222139555314456
fructose_degradation,MainAutochamber.201206_E_1_11to14,20110700_E1D_5,fructose_degradation-all,0.5992796210212892
galactose_degradation,MainAutochamber.201206_E_1_11to14,20110700_E1D_5,galactose_degradation-all,0.8123940681312609
lactate_fermentation,MainAutochamber.201206_E_1_11to14,20110700_E1D_5,lactate_fermentation-all,0.8061044442331803
lactose_degradation,MainAutochamber.201206_E_1_11to14,20110700_E1D_5,lactose_degradation-all,0.6224327886792148
sucrose_degradation,MainAutochamber.201206_E_1_11to14,20110700_E1D_5,sucrose_degradation-all,0.3848754241771232
xylose_degradation,MainAutochamber.201206_E_1_11to14,20110700_E1D_5,xylose_degradation-isomerase_pathway,1.5785860937695524
acetogenesis,MainAutochamber.201206_E_1_11to14,20110700_P1D_2,acetogenesis-simple,0.0614678378147337
fructose_degradation,MainAutochamber.201206_E_1_11to14,20110700_P2D_11,fructose_degradation-all,0.21482373299998123
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20110700_P2D_11,glycerol_degradation-glycerol,0.17402719406372982
xylose_degradation,MainAutochamber.201206_E_1_11to14,20110700_P2D_11,xylose_degradation-isomerase_pathway,0.36892589282091376
acetogenesis,MainAutochamber.201206_E_1_11to14,20110700_P2D_15,acetogenesis-simple,0.04146913833227487
acetogenesis,MainAutochamber.201206_E_1_11to14,20110700_P2D_21,acetogenesis-simple,0.2997279763475785
ethanol_fermentation,MainAutochamber.201206_E_1_11to14,20110700_P2D_21,ethanol_fermentation-all,0.1261194181567768
galactose_degradation,MainAutochamber.201206_E_1_11to14,20110700_P2D_21,galactose_degradation-all,0.03660129598533807
lactose_degradation,MainAutochamber.201206_E_1_11to14,20110700_P2D_21,lactose_degradation-all,0.17018503523375136
sulfur_redox,MainAutochamber.201206_E_1_11to14,20110700_P2D_21,sulfur_redox-assimilatory_sulfate_reduction,0.01376496608508283
acetogenesis,MainAutochamber.201206_E_1_11to14,20110700_P2D_27,acetogenesis-simple,0.0600328276704117
galactose_degradation,MainAutochamber.201206_E_1_11to14,20110700_P2D_27,galactose_degradation-all,0.02380858959483804
Wood_Ljungdahl,MainAutochamber.201206_E_1_11to14,20110700_S2D_21,Wood_Ljungdahl-methanogen,1.1752459730585565
hydrogenotrophic_methanogenesis,MainAutochamber.201206_E_1_11to14,20110700_S2D_21,hydrogenotrophic_methanogenesis-all,1.6520859813038946
methylotrophic_methanogenesis,MainAutochamber.201206_E_1_11to14,20110700_S2D_21,methylotrophic_methanogenesis-h2_indep,1.2489521341159855
propionate_fermentation,MainAutochamber.201206_E_1_11to14,20110700_S2D_6,propionate_fermentation-succinate_pathway,0.03356620828124707
sulfur_redox,MainAutochamber.201206_E_1_11to14,20110700_S2D_6,sulfur_redox-assimilatory_sulfate_reduction,0.04344909719164077
xylose_degradation,MainAutochamber.201206_E_1_11to14,20110700_S2D_6,xylose_degradation-isomerase_pathway,0.0678273691149009
sulfur_redox,MainAutochamber.201206_E_1_11to14,20110700_S3M_12,sulfur_redox-dissimilatory_sulfate_reduction,0.02606254517302875
lactate_fermentation,MainAutochamber.201206_E_1_11to14,20110700_S3M_15,lactate_fermentation-all,1.1494954134209523
galactose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E1D_1,galactose_degradation-all,0.24303130031526063
mannose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E1D_1,mannose_degradation-all,0.20475387051560712
sucrose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E1D_1,sucrose_degradation-all,0.44877560660954985
acetogenesis,MainAutochamber.201206_E_1_11to14,20110800_E1D_3,acetogenesis-simple,0.2322607491504484
lactose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E1D_3,lactose_degradation-all,0.7030068020706367
acetogenesis,MainAutochamber.201206_E_1_11to14,20110800_E1D_4,acetogenesis-simple,0.19710152537234132
acetogenesis,MainAutochamber.201206_E_1_11to14,20110800_E1D_6,acetogenesis-simple,0.22007391250191996
galactose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E1D_6,galactose_degradation-all,0.282825093964615
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20110800_E1D_6,glycerol_degradation-glycerol,0.07228037711470818
xylose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E1D_6,xylose_degradation-isomerase_pathway,0.28158002566662443
galactose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E1S_2,galactose_degradation-all,0.09587395205030394
sulfur_redox,MainAutochamber.201206_E_1_11to14,20110800_E1S_2,sulfur_redox-dissimilatory_sulfur_oxidation,0.15637527103817253
hydrogenotrophic_methanogenesis,MainAutochamber.201206_E_1_11to14,20110800_E1S_5,hydrogenotrophic_methanogenesis-all,0.38005052553794005
xylose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E2D_12,xylose_degradation-isomerase_pathway,0.06578437606927136
Wood_Ljungdahl,MainAutochamber.201206_E_1_11to14,20110800_E2D_31,Wood_Ljungdahl-acetogen,0.04460333383107207
butanoate_fermentation,MainAutochamber.201206_E_1_11to14,20110800_E2D_31,butanoate_fermentation-acetyl_coa_pathway,0.02736893841478457
acetogenesis,MainAutochamber.201206_E_1_11to14,20110800_E2D_32,acetogenesis-simple,0.3511536843492149
galactose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E2D_32,galactose_degradation-all,0.12877601919220574
xylose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E2D_32,xylose_degradation-isomerase_pathway,0.441814612328674
lactose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E2D_34,lactose_degradation-all,0.05040095274230329
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20110800_E2D_35,glycerol_degradation-glycerone,0.02265602993257064
sucrose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E2D_5,sucrose_degradation-all,0.04734193537933113
galactose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E2D_9,galactose_degradation-all,0.0428803917310172
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20110800_E2S_1,glycerol_degradation-glycerol,0.10942090608716482
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20110800_E2S_1,glycerol_degradation-glycerone,0.1421469175247021
Wood_Ljungdahl,MainAutochamber.201206_E_1_11to14,20110800_E2S_11,Wood_Ljungdahl-acetogen,0.02534480349455884
methylotrophic_methanogenesis,MainAutochamber.201206_E_1_11to14,20110800_E2S_11,methylotrophic_methanogenesis-h2_dep,6.22415710174339
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20110800_E2S_4,glycerol_degradation-glycerol,0.1585922095279945
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20110800_E2S_4,glycerol_degradation-glycerone,0.05738847221658658
xylose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E2S_4,xylose_degradation-isomerase_pathway,0.465349705717289
butanoate_fermentation,MainAutochamber.201206_E_1_11to14,20110800_E3D_1,butanoate_fermentation-acetyl_coa_pathway,0.0853141127148363
methylotrophic_methanogenesis,MainAutochamber.201206_E_1_11to14,20110800_E3D_10,methylotrophic_methanogenesis-h2_dep,0.22442106288086552
acetogenesis,MainAutochamber.201206_E_1_11to14,20110800_E3D_13,acetogenesis-simple,0.0098380238085577
xylose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E3D_13,xylose_degradation-isomerase_pathway,0.06487251343068741
galactose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E3D_17,galactose_degradation-all,0.19173156057858937
xylose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E3D_17,xylose_degradation-isomerase_pathway,0.1389863083804412
galactose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E3D_28,galactose_degradation-all,0.02052670381108843
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20110800_E3D_28,glycerol_degradation-glycerol,0.02188418121743296
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20110800_E3D_28,glycerol_degradation-glycerone,0.09927460388635496
xylose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E3D_28,xylose_degradation-isomerase_pathway,0.04115655688755922
xylose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E3D_30,xylose_degradation-isomerase_pathway,0.11291122529931584
Wood_Ljungdahl,MainAutochamber.201206_E_1_11to14,20110800_E3D_36,Wood_Ljungdahl-methanogen,0.13208050186712936
hydrogenotrophic_methanogenesis,MainAutochamber.201206_E_1_11to14,20110800_E3D_36,hydrogenotrophic_methanogenesis-all,0.15201496464008024
butanoate_fermentation,MainAutochamber.201206_E_1_11to14,20110800_E3D_41,butanoate_fermentation-acetyl_coa_pathway,0.02564392433864146
propionate_fermentation,MainAutochamber.201206_E_1_11to14,20110800_E3D_41,propionate_fermentation-succinate_pathway,0.01457322921819268
lactose_degradation,MainAutochamber.201206_E_1_11to14,20110800_E3M_4,lactose_degradation-all,0.13101324002486045
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20110800_E3S_2,glycerol_degradation-glycerol,0.04376836243486592
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20110800_E3S_2,glycerol_degradation-glycerone,0.08198353173798084
butanoate_fermentation,MainAutochamber.201206_E_1_11to14,20110800_S1D_14,butanoate_fermentation-acetyl_coa_pathway,0.02579576321456468
ethanol_fermentation,MainAutochamber.201206_E_1_11to14,20110800_S1D_14,ethanol_fermentation-all,0.03869364482184702
propionate_fermentation,MainAutochamber.201206_E_1_11to14,20110800_S3D_10,propionate_fermentation-succinate_pathway,0.0447549443749961
lactose_degradation,MainAutochamber.201206_E_1_11to14,20111000_E3D_2,lactose_degradation-all,0.14779226743983673
xylose_degradation,MainAutochamber.201206_E_1_11to14,20111000_E3D_2,xylose_degradation-isomerase_pathway,0.04321981435685639
xylose_degradation,MainAutochamber.201206_E_1_11to14,20111000_E3D_3,xylose_degradation-isomerase_pathway,0.390205375257656
acetogenesis,MainAutochamber.201206_E_1_11to14,20111000_E3D_5,acetogenesis-simple,0.0794044860782556
acetogenesis,MainAutochamber.201206_E_1_11to14,20111000_E3D_7,acetogenesis-simple,0.07385061996423968
galactose_degradation,MainAutochamber.201206_E_1_11to14,20111000_E3D_7,galactose_degradation-all,0.02089325209342929
lactose_degradation,MainAutochamber.201206_E_1_11to14,20111000_E3D_7,lactose_degradation-all,0.29952566201140246
acetogenesis,MainAutochamber.201206_E_1_11to14,20111000_E3D_9,acetogenesis-simple,0.1001853800687986
galactose_degradation,MainAutochamber.201206_E_1_11to14,20111000_E3D_9,galactose_degradation-all,0.13837874722073884
lactose_degradation,MainAutochamber.201206_E_1_11to14,20111000_E3D_9,lactose_degradation-all,0.25684991325414913
propionate_fermentation,MainAutochamber.201206_E_1_11to14,20111000_P1D_6,propionate_fermentation-succinate_pathway,0.01720620760635354
acetogenesis,MainAutochamber.201206_E_1_11to14,20111000_P2D_4,acetogenesis-simple,0.08410687007514225
ethanol_fermentation,MainAutochamber.201206_E_1_11to14,20111000_P2D_4,ethanol_fermentation-all,0.01374187050440316
xylose_degradation,MainAutochamber.201206_E_1_11to14,20111000_S2M_4,xylose_degradation-isomerase_pathway,0.03722797645738311
sulfur_redox,MainAutochamber.201206_E_1_11to14,20120500_P26_1,sulfur_redox-dissimilatory_sulfate_reduction,0.016904344315014
acetogenesis,MainAutochamber.201206_E_1_11to14,20120500_P26_12,acetogenesis-simple,0.03581959188573352
ethanol_fermentation,MainAutochamber.201206_E_1_11to14,20120500_P28_11,ethanol_fermentation-all,0.05356401831490037
sucrose_degradation,MainAutochamber.201206_E_1_11to14,20120500_P28_11,sucrose_degradation-all,0.06768722992251475
lactose_degradation,MainAutochamber.201206_E_1_11to14,20120500_P28_12,lactose_degradation-all,0.07884625579421693
lactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_13,lactose_degradation-all,0.2670767782471216
fructose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_16,fructose_degradation-all,0.21913457714044912
galactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_16,galactose_degradation-all,0.2269305243301881
galacturonic_acid_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_16,galacturonic_acid_degradation-all,0.08207253264926215
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_16,glycerol_degradation-glycerol,0.4308388037943772
lactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_16,lactose_degradation-all,0.34979522314141687
propionate_fermentation,MainAutochamber.201206_E_1_11to14,20120600_E1D_16,propionate_fermentation-succinate_pathway,0.9645812655613252
xylose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_16,xylose_degradation-isomerase_pathway,0.4437104191760335
acetogenesis,MainAutochamber.201206_E_1_11to14,20120600_E1D_17,acetogenesis-simple,1.6264184145879157
fructose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_17,fructose_degradation-all,0.22232121665291324
mannose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_17,mannose_degradation-all,0.1904841416981204
acetogenesis,MainAutochamber.201206_E_1_11to14,20120600_E1D_18,acetogenesis-simple,0.4094175398980016
sulfur_redox,MainAutochamber.201206_E_1_11to14,20120600_E1D_18,sulfur_redox-assimilatory_sulfate_reduction,0.11480674824879086
sulfur_redox,MainAutochamber.201206_E_1_11to14,20120600_E1D_18,sulfur_redox-dissimilatory_sulfate_reduction,0.11445340590917706
acetogenesis,MainAutochamber.201206_E_1_11to14,20120600_E1D_19,acetogenesis-simple,0.5852985144358263
fructose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_19,fructose_degradation-all,0.8400158790383884
galactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_19,galactose_degradation-all,0.8231243008866893
lactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_19,lactose_degradation-all,0.38954362999402065
sucrose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_19,sucrose_degradation-all,0.4853425078888466
acetogenesis,MainAutochamber.201206_E_1_11to14,20120600_E1D_20,acetogenesis-simple,0.05487740122229334
lactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_20,lactose_degradation-all,0.5265099527544184
sulfur_redox,MainAutochamber.201206_E_1_11to14,20120600_E1D_20,sulfur_redox-assimilatory_sulfate_reduction,0.44471428890267617
acetogenesis,MainAutochamber.201206_E_1_11to14,20120600_E1D_25,acetogenesis-simple,0.06985206670042035
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_25,glycerol_degradation-glycerol,0.3778818422127621
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_25,glycerol_degradation-glycerone,0.5674689140864326
sulfur_redox,MainAutochamber.201206_E_1_11to14,20120600_E1D_25,sulfur_redox-dissimilatory_sulfur_oxidation,0.9437215431172016
fructose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_30,fructose_degradation-all,0.40197078874229625
galactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_30,galactose_degradation-all,0.12965252172702268
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_30,glycerol_degradation-glycerol,0.02448476777466153
lactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_30,lactose_degradation-all,0.06436270978879596
mannose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_30,mannose_degradation-all,0.0955120095699625
propionate_fermentation,MainAutochamber.201206_E_1_11to14,20120600_E1D_30,propionate_fermentation-succinate_pathway,0.02883857331205734
xylose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_30,xylose_degradation-isomerase_pathway,0.06436270978879596
acetogenesis,MainAutochamber.201206_E_1_11to14,20120600_E1D_31,acetogenesis-simple,0.18969033803226207
galactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_31,galactose_degradation-all,0.17434001704049307
lactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_31,lactose_degradation-all,1.3415883208246928
sulfur_redox,MainAutochamber.201206_E_1_11to14,20120600_E1D_31,sulfur_redox-assimilatory_sulfate_reduction,0.1234499142509613
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_32,glycerol_degradation-glycerol,0.04531205986514128
xylose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_32,xylose_degradation-isomerase_pathway,0.07361936917415088
butanoate_fermentation,MainAutochamber.201206_E_1_11to14,20120600_E1D_34,butanoate_fermentation-acetyl_coa_pathway,0.5505631164463997
ethanol_fermentation,MainAutochamber.201206_E_1_11to14,20120600_E1D_34,ethanol_fermentation-all,0.8115459467828907
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_34,glycerol_degradation-glycerol,0.08736165141999237
lactate_fermentation,MainAutochamber.201206_E_1_11to14,20120600_E1D_34,lactate_fermentation-all,0.09579128445174603
propionate_fermentation,MainAutochamber.201206_E_1_11to14,20120600_E1D_34,propionate_fermentation-succinate_pathway,0.1936476105015478
sulfur_redox,MainAutochamber.201206_E_1_11to14,20120600_E1D_34,sulfur_redox-assimilatory_sulfate_reduction,0.03995197473475261
sulfur_redox,MainAutochamber.201206_E_1_11to14,20120600_E1D_34,sulfur_redox-dissimilatory_sulfur_oxidation,2.461785225068006
acetogenesis,MainAutochamber.201206_E_1_11to14,20120600_E1D_37,acetogenesis-simple,0.10246953713853169
lactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_37,lactose_degradation-all,0.13736108713835277
xylose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_37,xylose_degradation-isomerase_pathway,0.06474430688240543
fructose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_38,fructose_degradation-all,0.21913457714044912
galactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_38,galactose_degradation-all,1.1112614723475556
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_38,glycerol_degradation-glycerol,0.6095920110810288
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_38,glycerol_degradation-glycerone,0.613547514878096
lactate_fermentation,MainAutochamber.201206_E_1_11to14,20120600_E1D_38,lactate_fermentation-all,0.6161871965359964
xylose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_38,xylose_degradation-isomerase_pathway,2.236036942662146
galacturonic_acid_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_41,galacturonic_acid_degradation-all,0.05089028238057809
butanoate_fermentation,MainAutochamber.201206_E_1_11to14,20120600_E1D_42,butanoate_fermentation-acetyl_coa_pathway,0.15259157573356288
sulfur_redox,MainAutochamber.201206_E_1_11to14,20120600_E1D_42,sulfur_redox-assimilatory_sulfate_reduction,0.02946098856339671
galactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_48,galactose_degradation-all,0.22235714445133808
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_48,glycerol_degradation-glycerol,0.07280137618332698
propionate_fermentation,MainAutochamber.201206_E_1_11to14,20120600_E1D_48,propionate_fermentation-succinate_pathway,0.07766372542532818
xylose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_48,xylose_degradation-isomerase_pathway,0.17364285838779403
galactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_51,galactose_degradation-all,0.04412945545553883
mannose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_51,mannose_degradation-all,0.1020580039953182
xylose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_51,xylose_degradation-isomerase_pathway,0.35345480699293996
xylose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_52,xylose_degradation-isomerase_pathway,0.28158002566662443
acetogenesis,MainAutochamber.201206_E_1_11to14,20120600_E1D_53,acetogenesis-simple,1.0288748423888576
galactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_53,galactose_degradation-all,0.8739686344981421
lactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_53,lactose_degradation-all,0.7305265419931426
sucrose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_53,sucrose_degradation-all,0.16218128357671854
xylose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_53,xylose_degradation-isomerase_pathway,1.7838651994046533
galactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_55,galactose_degradation-all,0.3485057276798376
lactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_55,lactose_degradation-all,0.08632574250987389
xylose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_55,xylose_degradation-isomerase_pathway,0.26601110750442747
acetogenesis,MainAutochamber.201206_E_1_11to14,20120600_E1D_6,acetogenesis-simple,0.31248211171686485
galactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_6,galactose_degradation-all,0.42482058623348984
galacturonic_acid_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_6,galacturonic_acid_degradation-all,0.08121012632650496
lactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E1D_6,lactose_degradation-all,0.1769496364850503
propionate_fermentation,MainAutochamber.201206_E_1_11to14,20120600_E1D_6,propionate_fermentation-succinate_pathway,0.38810089268120224
sulfur_redox,MainAutochamber.201206_E_1_11to14,20120600_E1D_6,sulfur_redox-assimilatory_sulfate_reduction,0.1646262275502369
ethanol_fermentation,MainAutochamber.201206_E_1_11to14,20120600_E1D_9,ethanol_fermentation-all,0.1840319635628211
acetogenesis,MainAutochamber.201206_E_1_11to14,20120600_E2D_1,acetogenesis-simple,0.16759845527468967
galactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E2D_1,galactose_degradation-all,0.18481601468902173
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20120600_E2D_1,glycerol_degradation-glycerol,0.46146519301331457
lactate_fermentation,MainAutochamber.201206_E_1_11to14,20120600_E2D_1,lactate_fermentation-all,0.06487251343068741
lactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E2D_1,lactose_degradation-all,0.30382615463747803
mannose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E2D_1,mannose_degradation-all,0.23070858649645873
sulfur_redox,MainAutochamber.201206_E_1_11to14,20120600_E2D_1,sulfur_redox-dissimilatory_sulfur_oxidation,0.37764402631120625
xylose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E2D_1,xylose_degradation-isomerase_pathway,0.965732541207399
acetogenesis,MainAutochamber.201206_E_1_11to14,20120600_E2D_11,acetogenesis-simple,0.34190739384336855
acetogenesis,MainAutochamber.201206_E_1_11to14,20120600_E2D_15,acetogenesis-simple,0.12638337820551707
lactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E2D_15,lactose_degradation-all,0.37323207756446586
sulfur_redox,MainAutochamber.201206_E_1_11to14,20120600_E2D_15,sulfur_redox-assimilatory_sulfate_reduction,0.07818763551908627
xylose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E2D_15,xylose_degradation-isomerase_pathway,0.12409325485794372
Wood_Ljungdahl,MainAutochamber.201206_E_1_11to14,20120600_E2D_16,Wood_Ljungdahl-acetogen,0.493608998803321
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20120600_E2D_16,glycerol_degradation-glycerol,0.675757912367293
propionate_fermentation,MainAutochamber.201206_E_1_11to14,20120600_E2D_16,propionate_fermentation-succinate_pathway,0.33216162000952226
acetogenesis,MainAutochamber.201206_E_1_11to14,20120600_E2D_2,acetogenesis-simple,0.8286121391215594
galactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E2D_2,galactose_degradation-all,0.24670952768410315
lactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E2D_2,lactose_degradation-all,0.07420298818232648
xylose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E2D_2,xylose_degradation-isomerase_pathway,0.44681522929573125
acetogenesis,MainAutochamber.201206_E_1_11to14,20120600_E2D_27,acetogenesis-simple,3.618869084813139
lactate_fermentation,MainAutochamber.201206_E_1_11to14,20120600_E2D_27,lactate_fermentation-all,1.1252136402638393
lactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E2D_27,lactose_degradation-all,0.8194958227109637
xylose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E2D_27,xylose_degradation-isomerase_pathway,1.8724949367177823
ethanol_fermentation,MainAutochamber.201206_E_1_11to14,20120600_E2D_33,ethanol_fermentation-all,0.40497085619266143
galactose_degradation,MainAutochamber.201206_E_1_11to14,20120600_E2D_33,galactose_degradation-all,0.02412416736560909
glycerol_degradation,MainAutochamber.201206_E_1_11to14,20120600_E2D_33,glycerol_degradation-glycerol,0.2031859856787792
