SampleID,Month,Habitat,Samplenumber,Depth,Year,Sampletype,DepthMin__,DepthMax__,DepthAvg__,"T, soil (C)",ALD.cm,CtoN_wt,C.percent__,N.percent__,d13C_peat__,d15N_peat__,Precipitation_3day_accumulation_mm,,Notes__.DepthInfo,Notes__.Biogeochemistry
July_E_3_M_12_so_R1,July,Fen,3,M,2012,solid,5,8,6.5,12.7,235,NA,38.743,NA,-27.0047605,NA,3.4,,NA,"QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct."
July_E_3_D_12_so_R1,July,Fen,3,D,2012,solid,24,27,25.5,12.2,235,43.12915,42.469,0.985,-24.665219,-0.199684667,3.4,,NA,"QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct."
Aug_P_1_S_12_so_R1,August,Palsa,1,S,2012,solid,1,4,2.5,7.6,45,49.59728,46.936,0.946,-27.66966633,-2.097473775,0,,"Notes: Active layer was 45cm, but core only went down to 40cm.",NA
Aug_P_1_M_12_so_R1,August,Palsa,1,M,2012,solid,21,24,22.5,4.5,45,30.11473,39.398,1.308,-26.0438774,0.910077467,0,,NA,NA
Aug_P_1_D_12_so_R1,August,Palsa,1,D,2012,solid,37,40,38.5,1.2,45,30.78054,46.872,1.523,-25.15338905,1.035216167,0,,NA,NA
Aug_P_2_S_12_so_R1,August,Palsa,2,S,2012,solid,1,4,2.5,8.7,45,69.12646,44.937,0.65,-26.3530444,-1.0785814,0,,NA,NA
Aug_P_2_M_12_so_R1,August,Palsa,2,M,2012,solid,21,24,22.5,5,45,39.92815,47.133,1.276,-25.1710397,3.6464271,0,,NA,NA
Aug_P_2_D_12_so_R2,August,Palsa,2,D,2012,solid,41,44,42.5,1.2,45,29.89433,52.501,1.756,-25.4696851,1.70756,0,,NA,NA
Aug_P_2_D_12_so_R1,August,Palsa,2,D,2012,solid,41,44,42.5,1.2,45,29.89433,52.501,1.756,-25.4696851,1.70756,0,,NA,
Aug_P_3_S_12_so_R1,August,Palsa,3,S,2012,solid,1,4,2.5,9.2,45,84.67525,48.123,0.568,-25.934773,-1.6513086,0,,NA,NA
Aug_P_3_M_12_so_R2,August,Palsa,3,M,2012,solid,21,24,22.5,4.1,45,43.57983,47.07,1.08,-26.1620859,1.9964738,0,,NA,NA
Aug_P_3_M_12_so_R1,August,Palsa,3,M,2012,solid,21,24,22.5,4.1,45,43.57983,47.07,1.08,-26.1620859,1.9964738,0,,NA,NA
Aug_S_1_S_12_so_R2,August,Bog,1,S,2012,solid,1,4,2.5,10.9,117,83.34315,44.95,0.539,-25.3469932,-1.1511143,0,,NA,notes_Suzanne: Sent to PNNL; leftover peat marked by placing in vial with purple cap. This vial still needs FT-IR and should possibly be re-run for C/N.
Aug_S_1_S_12_so_R1,August,Bog,1,S,2012,solid,1,4,2.5,10.9,117,83.34315,44.95,0.539,-25.3469932,-1.1511143,0,,NA,notes_Suzanne: Sent to PNNL; leftover peat marked by placing in vial with purple cap. This vial still needs FT-IR and should possibly be re-run for C/N.
Aug_S_1_M_12_so_R1,August,Bog,1,M,2012,solid,11,14,12.5,9.1,117,40.81114,47.652,1.168,-24.5261939,0.498839,0,,NA,notes_Suzanne: (note 1) Acidified for DOC.  (note 2) Sent to PNNL; leftover peat marked by placing in vial with purple cap. This vial should be re-run for FT-IR and possibly C/N.
Aug_S_1_D_12_so_R1,August,Bog,1,D,2012,solid,16,19,17.5,9.2,117,53.2305,42.017,0.789,-23.0605488,-0.3647178,0,,NA,"notes_Suzanne: (note 1) Acidified for DOC.  (note 2) More peat was ground and sent to PNNL; leftover peat was marked by placing it in an EXTRA vial with a purple cap. This vial should be re-run for FT-IR and possibly C/N, since it differs from the original vial."
Aug_S_2_M_12_so_R1,August,Bog,2,M,2012,solid,10,13,11.5,9.2,106,65.51737,43.651,0.666,-23.8528151,-0.2037915,0,,NA,NA
Aug_S_2_D_12_so_R2,August,Bog,2,D,2012,solid,15,18,16.5,9,106,69.00561,44.239,0.641,-25.0968539,-0.7236398,0,,NA,NA
Aug_S_2_D_12_so_R1,August,Bog,2,D,2012,solid,15,18,16.5,9,106,69.00561,44.239,0.641,-25.0968539,-0.7236398,0,,NA,NA
Aug_S_3_S_12_so_R1,August,Bog,3,S,2012,solid,1,4,2.5,13.5,90,158.5497,45.2,0.285,-26.2362717,-1.42479625,0,,"Notes: Coring site actually had more E. vaginatum and a thin Carex species than Sphagnum. ALD may be =90cm, but it is hard to tell.",NA
Aug_E_1_S_12_so_R1,August,Fen,1,S,2012,solid,1,4,2.5,9.9,265,32.36946,42.702,1.319,-26.4797533,1.7537469,0,,NA,NA
Aug_E_1_M_12_so_R1,August,Fen,1,M,2012,solid,5,8,6.5,9.8,265,30.20822,41.056,1.359,-26.419834,1.8412072,0,,NA,NA
Aug_E_1_D_12_so_R1,August,Fen,1,D,2012,solid,24,27,25.5,9.8,265,43.96376,45.883,1.044,-24.9608466,2.3738306,0,,NA,NA
Aug_E_2_S_12_so_R1,August,Fen,2,S,2012,solid,1,4,2.5,10.2,235,21.86244,39.834,1.822,-26.3285284,2.8926962,0,,NA,NA
Aug_E_2_M_12_so_R1,August,Fen,2,M,2012,solid,5,8,6.5,9.6,235,18.929,37.351,1.973,-26.21677415,3.0548417,0,,NA,NA
Aug_E_2_D_12_so_R1,August,Fen,2,D,2012,solid,24,27,25.5,9.1,235,13.66419,15.114,1.106,-27.6924058,0.82313,0,,NA,NA
Aug_E_3_S_12_so_R1,August,Fen,3,S,2012,solid,1,4,2.5,10.9,235,19.29382,38.588,2,-27.104626,4.144656,0,,NA,"notes_Suzanne: (note 1) Sent to PNNL; leftover peat marked by placing in vial with purple cap. These FT-IR numbers are based on E3 S small vial (which was fully ground by some undergraduate, probably Danielle). There was also another vial of partially-ground peat, which gave very similar results, but when this was reground, the results were different. After the FT-IR and C/N data were run, the reground vial was combined with the small vial so that there would be a combined >100mg of fully-ground peat to send for solid-phase FT-ICR MS (this was done on 2/11/15). This combined vial should be re-run for FT-IR and possibly C/N. (note 2) Acidified for DOC. "
Aug_E_3_M_12_so_R2,August,Fen,3,M,2012,solid,5,8,6.5,10.9,235,20.25716,42.372,2.092,-26.9343791,4.0355763,0,,NA,notes_Suzanne: (note 1) Sent to PNNL; leftover peat marked by placing in vial with purple cap. This vial should be re-run for FT-IR and possibly C/N. (note 2) Acidified for DOC. 
Aug_E_3_M_12_so_R1,August,Fen,3,M,2012,solid,5,8,6.5,10.9,235,20.25716,42.372,2.092,-26.9343791,4.0355763,0,,NA,notes_Suzanne: (note 1) Sent to PNNL; leftover peat marked by placing in vial with purple cap. This vial should be re-run for FT-IR and possibly C/N. (note 2) Acidified for DOC. 
