EMERGE_sampleID,SampleID_old__,SampleID,Month,Habitat,Samplenumber,Depth,Year,Sampletype,Repetition,DepthMin,DepthMax,DepthAvg,T_soil,C_percent,N_percent,d13C_peat,d15N_peat,CH4.percent,CO2.percent
MainAutochamber.201207_P_3_1to4,201207_P3_01-04,July_P_3_S_12_so_R1,July,Palsa,3,S,2012,solid,1,1,4,2.5,8.9,45.169,1.016,-26.3917,-0.2717511,0,0.080871181
NA,NA,July_P_3_M_12_so_R2,July,Palsa,3,M,2012,solid,2,15,18,16.5,6.1,44.227,0.999,-26.28888,1.7067238,NA,NA
MainAutochamber.201207_P_3_15to18,201207_P3_15-18,July_P_3_M_12_so_R1,July,Palsa,3,M,2012,solid,1,15,18,16.5,6.1,44.227,0.999,-26.28888,1.7067238,0,0.151026215
MainAutochamber.201208_P_1_1to4,201208_P1_01-04,Aug_P_1_S_12_so_R1,August,Palsa,1,S,2012,solid,1,1,4,2.5,7.6,46.936,0.946,-27.66966633,-2.097473775,0,0.094620359
MainAutochamber.201208_P_1_21to24,201208_P1_21-24,Aug_P_1_M_12_so_R1,August,Palsa,1,M,2012,solid,1,21,24,22.5,4.5,39.398,1.308,-26.0438774,0.910077467,0,0.199193165
MainAutochamber.201208_P_1_37to40,201208_P1_37-40,Aug_P_1_D_12_so_R1,August,Palsa,1,D,2012,solid,1,37,40,38.5,1.2,46.872,1.523,-25.15338905,1.035216167,NA,NA
MainAutochamber.201208_P_2_1to4,201208_P2_01-04,Aug_P_2_S_12_so_R1,August,Palsa,2,S,2012,solid,1,1,4,2.5,8.7,44.937,0.65,-26.3530444,-1.0785814,0,0.055387527
MainAutochamber.201208_P_2_21to24,201208_P2_21-24,Aug_P_2_M_12_so_R1,August,Palsa,2,M,2012,solid,1,21,24,22.5,5,47.133,1.276,-25.1710397,3.6464271,0,0.26265804
NA,NA,Aug_P_2_D_12_so_R2,August,Palsa,2,D,2012,solid,2,41,44,42.5,1.2,52.501,1.756,-25.4696851,1.70756,NA,NA
MainAutochamber.201208_P_2_41to44,201208_P2_41-44,Aug_P_2_D_12_so_R1,August,Palsa,2,D,2012,solid,1,41,44,42.5,1.2,52.501,1.756,-25.4696851,1.70756,0,0.801388287
NA,NA,Aug_P_3_S_12_so_R1,August,Palsa,3,S,2012,solid,1,1,4,2.5,9.2,48.123,0.568,-25.934773,-1.6513086,NA,NA
NA,NA,Aug_P_3_M_12_so_R2,August,Palsa,3,M,2012,solid,2,21,24,22.5,4.1,47.07,1.08,-26.1620859,1.9964738,NA,NA
MainAutochamber.201208_P_3_21to24,201208_P3_21-24,Aug_P_3_M_12_so_R1,August,Palsa,3,M,2012,solid,1,21,24,22.5,4.1,47.07,1.08,-26.1620859,1.9964738,0,0.124910413
