Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No. module	Zi	Pi	Node_type	Type_data	Phylum_Elcomposition	Class_Mol_formula	Order_bs2class	Family_NOSC	Genus_GFE	Species_DBE
mass11973	4	23	23	1.41E-51	0.166666667	7	1.568929081	0	Peripheral nodes	metabolite	CHO	C21H34O18	Carbohydrate	0.095238095	57.58571429	5
mass11921	2	1	1	5.37E-75	0	29	0	0	Peripheral nodes	metabolite	CHO	C27H24O14	Lignin	0.148148148	56.07777778	16
mass11855	3	8	8	2.70E-64	0	13	1.788854382	0	Peripheral nodes	metabolite	CHO	C28H40O12	Lignin	-0.571428571	76.58571429	9
mass11649	3	14	14	8.24E-52	0.333333333	7	0.588348405	0	Peripheral nodes	metabolite	CHO	C20H34O18	Carbohydrate	0.1	57.45	4
mass11640	2	0	0	2.10E-07	1	1	-0.691913128	0	Peripheral nodes	metabolite	CHO	C26H26O14	Lignin	0.076923077	58.10769231	14
mass11593	2	2	2	2.29E-70	0	16	1	0	Peripheral nodes	metabolite	CHO	C21H36O17	Carbohydrate	-0.095238095	63.01428571	4
mass11588	1	0	0	4.92E-52	0	7	-1.372812946	0	Peripheral nodes	metabolite	CHO	C20H32O18	Carbohydrate	0.2	54.6	5
mass11526	7	538.7249368	6960	2.01E-06	0.238095238	1	1.591400194	0	Peripheral nodes	metabolite	CHO	C27H26O13	Lignin	0	60.3	15
mass11473	6	120.6830538	1223	5.83E-07	0.333333333	1	1.134737529	0	Peripheral nodes	metabolite	CHO	C27H24O13	Lignin	0.074074074	58.18888889	16
mass11214	1	0	0	5.37E-75	0	29	0	0	Peripheral nodes	metabolite	CHO	C26H24O13	Lignin	0.076923077	58.10769231	15
mass11146	1	0	0	9.77E-87	0	42	0	0	Peripheral nodes	metabolite	CHOS	C28H28O9S	Lignin	-0.285714286	68.44285714	15
mass10971	1	0	0	1.41E-70	0	17	-1	0	Peripheral nodes	metabolite	CHO	C19H30O17	Carbohydrate	0.210526316	54.3	5
mass10970	1	0	0	4.99E-65	0	12	-0.894427191	0	Peripheral nodes	metabolite	CHO	C26H26O12	Lignin	-0.076923077	62.49230769	14
mass10921	3	3.5	5	5.49E-61	0	18	1.58113883	0	Peripheral nodes	metabolite	CHO	C26H24O12	Lignin	0	60.3	15
mass10892	1	0	0	1.56E-64	0	13	-0.894427191	0	Peripheral nodes	metabolite	CHO	C26H38O11	Lignin	-0.615384615	77.83846154	8
mass10872	1	0	0	2.40E-08	0	10	-0.811107106	0	Peripheral nodes	metabolite	CHO	C23H26O14	Lignin	0.086956522	57.82173913	11
mass10834	2	1	1	5.37E-75	0	31	0	0	Peripheral nodes	metabolite	CHO	C27H40O10	Lignin	-0.740740741	81.41111111	8
mass10819	6	101.1528452	988	0.075279433	0.533333333	0	-0.323536688	0	Peripheral nodes	metabolite	CHO	C25H32O12	Lignin	-0.32	69.42	10
mass10811	4	22.70158338	211	0.035039857	0.333333333	0	-0.630622358	0	Peripheral nodes	metabolite	CHO	C24H28O13	Lignin	-0.083333333	62.675	11
mass10764	1	0	0	9.77E-87	0	49	0	0	Peripheral nodes	metabolite	CHO	C27H38O10	Lignin	-0.666666667	79.3	9
mass10751	2	394	1194	3.97E-04	0	3	-0.361787303	0	Peripheral nodes	metabolite	CHO	C25H30O12	Lignin	-0.24	67.14	11
mass10747	8	2802.88523	20447	4.28E-05	0.25	2	0.998596709	0.40625	Peripheral nodes	metabolite	CHO	C28H26O10	Lignin	-0.214285714	66.40714286	16
mass10730	1	0	0	0.00265731	0	0	-1.091250863	0	Peripheral nodes	metabolite	CHO	C23H22O14	Lignin	0.260869565	52.86521739	13
mass10691	3	98	1506	8.93E-10	0.666666667	6	0.392837101	0	Peripheral nodes	metabolite	CHO	C28H40O9	Lignin	-0.785714286	82.69285714	9
mass10687	1	0	0	9.77E-87	0	49	0	0	Peripheral nodes	metabolite	CHO	C27H36O10	Lignin	-0.592592593	77.18888889	10
mass10679	1	0	0	5.37E-75	0	23	0	0	Peripheral nodes	metabolite	CHO	C26H32O11	Lignin	-0.384615385	71.26153846	11
mass10675	1	0	0	9.77E-87	0	38	0	0	Peripheral nodes	metabolite	CHO	C18H32O17	Carbohydrate	0.111111111	57.13333333	3
mass10667	2	198	3441	6.94E-04	0	9	0.277350098	0	Peripheral nodes	metabolite	CHO	C24H24O13	Lignin	0.083333333	57.925	13
mass10610	1	0	0	9.77E-87	0	61	0	0	Peripheral nodes	metabolite	CHO	C25H26O12	Lignin	-0.08	62.58	13
mass10550	1	0	0	4.41E-10	0	5	-0.928476691	0	Peripheral nodes	metabolite	CHO	C18H28O17	Carbohydrate	0.333333333	50.8	5
mass10548	2	16.70126016	43	5.80E-06	0	8	-1.060660172	0.5	Peripheral nodes	metabolite	CHO	C25H24O12	Lignin	0	60.3	14
mass10483	3	76.29004083	502	4.15E-05	0.333333333	8	1.060660172	0	Peripheral nodes	metabolite	CHO	C25H22O12	Lignin	0.08	58.02	15
mass10425	1	0	0	4.99E-65	0	12	-0.894427191	0	Peripheral nodes	metabolite	CHO	C26H24O11	Lignin	-0.076923077	62.49230769	15
mass10418	5	233.6222222	956	1.21E-07	0.1	1	0.678074865	0	Peripheral nodes	metabolite	CHO	C25H20O12	Lignin	0.16	55.74	16
mass10366	1	0	0	3.09E-65	0	12	-0.894427191	0	Peripheral nodes	metabolite	CHO	C26H22O11	Lignin	0	60.3	16
mass10311	1	0	0	2.93E-07	0	10	-0.811107106	0	Peripheral nodes	metabolite	CHO	C23H24O13	Lignin	0.086956522	57.82173913	12
mass10178	7	669.3745656	2878	1.07E-06	0.238095238	1	1.591400194	0	Peripheral nodes	metabolite	CHO	C24H22O12	Lignin	0.083333333	57.925	14
mass10134	1	0	0	9.39E-61	0	21	-1.414213562	0	Peripheral nodes	metabolite	CHO	C18H28O16	Carbohydrate	0.222222222	53.96666667	5
mass10128	2	1	1	5.37E-75	0	24	0	0	Peripheral nodes	metabolite	CHO	C24H20O12	Lignin	0.166666667	55.55	15
mass10084	2	6	6	8.08E-65	0	12	0.447213595	0	Peripheral nodes	metabolite	CHO	C25H22O11	Lignin	0	60.3	15
mass10029	2	1	1	5.37E-75	0	25	0	0	Peripheral nodes	metabolite	CHO	C22H24O13	Lignin	0.090909091	57.70909091	11
mass10025	3	7	7	6.90E-65	0	12	1.788854382	0	Peripheral nodes	metabolite	CHO	C25H20O11	Lignin	0.08	58.02	16
mass9991	1	0	0	5.37E-75	0	31	0	0	Peripheral nodes	metabolite	CHO	C25H34O10	Lignin	-0.56	76.26	9
mass9971	3	683.5	17185	0.008532001	0	9	0.277350098	0.444444444	Peripheral nodes	metabolite	CHO	C22H22O13	Lignin	0.181818182	55.11818182	12
mass9919	4	175.5926134	948	0.068203458	0	0	-0.630622358	0	Peripheral nodes	metabolite	CHO	C24H28O11	Lignin	-0.25	67.425	11
mass9909	14	189.8093736	4228	0.214647757	0.417582418	0	0.904805992	0	Peripheral nodes	metabolite	CHO	C23H24O12	Lignin	0	60.3	12
mass9905	11	428.8958324	6517	0.166862782	0.272727273	0	0.137091817	0.297520661	Peripheral nodes	metabolite	CHO	C22H20O13	Lignin	0.272727273	52.52727273	13
mass9873	4	296	3014	8.99E-10	0.333333333	6	1.257078722	0	Peripheral nodes	metabolite	CHO	C27H38O8	Lignin	-0.814814815	83.52222222	9
mass9854	4	13.8	36	9.00E-06	0.666666667	1	0.221412201	0	Peripheral nodes	metabolite	CHO	C17H30O16	Carbohydrate	0.117647059	56.94705882	3
mass9853	24	1927.295223	22820	0.222343078	0.050724638	0	2.440234343	0	Peripheral nodes	metabolite	CHO	C24H26O11	Lignin	-0.166666667	65.05	12
mass9841	5	0.666666667	2	2.69E-36	0.8	15	0.894427191	0	Peripheral nodes	metabolite	CHO	C23H22O12	Lignin	0.086956522	57.82173913	13
mass9836	3	2.87120437	12	0.028272122	0.333333333	0	-0.784165193	0	Peripheral nodes	metabolite	CHO	C22H18O13	Lignin	0.363636364	49.93636364	14
mass9782	1	0	0	3.34E-06	0	8	-1.060660172	0	Peripheral nodes	metabolite	CHO	C21H28O13	Lignin	-0.095238095	63.01428571	8
mass9780	1	0	0	6.95E-06	0	1	-1.148575792	0	Peripheral nodes	metabolite	CHO	C17H28O16	Carbohydrate	0.235294118	53.59411765	4
mass9778	6	120.4956349	286	2.66E-07	0.133333333	1	1.134737529	0	Peripheral nodes	metabolite	CHO	C24H24O11	Lignin	-0.083333333	62.675	13
mass9773	4	0	0	2.35E-36	1	15	-0.447213595	0	Peripheral nodes	metabolite	CHO	C23H20O12	Lignin	0.173913043	55.34347826	14
mass9731	1	0	0	5.37E-75	0	30	0	0	Peripheral nodes	metabolite	CHO	C23H34O11	Lignin	-0.52173913	75.16956522	7
mass9727	1	0	0	9.77E-87	0	60	0	0	Peripheral nodes	metabolite	CHO	C26H30O9	Lignin	-0.461538462	73.45384615	12
mass9720	2	198	804	5.45E-09	0	5	0.185695338	0	Peripheral nodes	metabolite	CHO	C18H30O15	Carbohydrate	0	60.3	4
mass9714	1	0	0	9.77E-87	0	47	0	0	Peripheral nodes	metabolite	CHO	C17H26O16	Carbohydrate	0.352941176	50.24117647	5
mass9713	3	198	681	4.14E-05	0.333333333	8	1.060660172	0	Peripheral nodes	metabolite	CHO	C24H22O11	Lignin	0	60.3	14
mass9708	1	0	0	1.13E-04	0	9	-0.693375245	0	Peripheral nodes	metabolite	CHO	C23H18O12	Cond Hydrocarbon	0.260869565	52.86521739	15
mass9671	1	0	0	5.37E-75	0	30	0	0	Peripheral nodes	metabolite	CHO	C24H36O10	Protein	-0.666666667	79.3	7
mass9664	2	1	1	5.37E-75	0	30	0	0	Peripheral nodes	metabolite	CHO	C23H32O11	Lignin	-0.434782609	72.69130435	8
mass9646	3	0	0	8.35E-06	1	1	-0.235250463	0	Peripheral nodes	metabolite	CHO	C21H24O13	Lignin	0.095238095	57.58571429	10
mass9640	1	0	0	5.37E-75	0	29	0	0	Peripheral nodes	metabolite	CHO	C24H20O11	Lignin	0.083333333	57.925	15
mass9584	1	0	0	2.42E-13	0	5	-0.928476691	0	Peripheral nodes	metabolite	CHO	C23H30O11	Lignin	-0.347826087	70.21304348	9
mass9577	13	615.2422121	16068	0.191497771	0.282051282	0	0.751263157	0	Peripheral nodes	metabolite	CHO	C22H26O12	Lignin	-0.090909091	62.89090909	10
mass9573	2	4	4	4.26E-65	0	12	0.447213595	0	Peripheral nodes	metabolite	CHO	C25H22O10	Lignin	-0.08	62.58	15
mass9565	4	58.62460099	771	8.76E-07	0.5	1	0.221412201	0	Peripheral nodes	metabolite	CHO	C24H18O11	Cond Hydrocarbon	0.166666667	55.55	16
mass9515	1	0	0	3.96E-68	0	20	-0.577350269	0	Peripheral nodes	metabolite	CHO	C24H32O10	Lignin	-0.5	74.55	9
mass9505	3	2.57912649	123	0.052526628	0	0	-0.784165193	0	Peripheral nodes	metabolite	CHO	C23H28O11	Lignin	-0.260869565	67.73478261	10
mass9497	1	0	0	5.37E-75	0	25	0	0	Peripheral nodes	metabolite	CHO	C22H24O12	Lignin	0	60.3	11
mass9491	2	1.791312741	8	0.005480977	0	11	0.816496581	0	Peripheral nodes	metabolite	CHO	C21H20O13	Lignin	0.285714286	52.15714286	12
mass9439	2	1	1	0.008344429	0	0	-0.937708028	0	Peripheral nodes	metabolite	CHO	C23H26O11	Lignin	-0.173913043	65.25652174	11
mass9429	2	289.5	10305	0.008475901	0	9	-0.693375245	0.5	Peripheral nodes	metabolite	CHO	C22H22O12	Lignin	0.090909091	57.70909091	12
mass9426	9	234.1720213	2556	0.127842069	0.166666667	0	0.137091817	0	Peripheral nodes	metabolite	CHO	C21H18O13	Lignin	0.380952381	49.44285714	13
mass9388	1	0	0	2.41E-13	0	5	-0.928476691	0	Peripheral nodes	metabolite	CHO	C24H28O10	Lignin	-0.333333333	69.8	11
mass9384	1	0	0	9.77E-87	0	36	0	0	Peripheral nodes	metabolite	CHO	C20H28O13	Lignin	-0.1	63.15	7
mass9380	3	0	0	0.017311679	1	0	-0.784165193	0	Peripheral nodes	metabolite	CHO	C23H24O11	Lignin	-0.086956522	62.77826087	12
mass9334	1	0	0	9.77E-87	0	33	0	0	Peripheral nodes	metabolite	CHO	C17H30O15	Carbohydrate	0	60.3	3
mass9326	1	0	0	2.39E-08	0	10	-0.811107106	0	Peripheral nodes	metabolite	CHO	C23H22O11	Lignin	0	60.3	13
mass9322	3	0.768174768	6	0.026480242	0.666666667	0	-0.784165193	0	Peripheral nodes	metabolite	CHO	C22H18O12	Lignin	0.272727273	52.52727273	14
mass9267	1	0	0	9.78E-09	0	1	-1.148575792	0	Peripheral nodes	metabolite	CHO	C23H20O11	Lignin	0.086956522	57.82173913	14
mass9223	3	2	2	2.04E-60	0.333333333	21	1.414213562	0	Peripheral nodes	metabolite	CHO	C17H26O15	Carbohydrate	0.235294118	53.59411765	5
mass9128	5	11.11659166	262	0.097723795	0.2	0	-0.477079523	0	Peripheral nodes	metabolite	CHO	C21H22O12	Lignin	0.095238095	57.58571429	11
mass9089	2	1344	5586	4.44E-10	0	5	0.185695338	0	Peripheral nodes	metabolite	CHO	C23H28O10	Lignin	-0.347826087	70.21304348	10
mass9084	4	1260.452778	4575	0.041337395	0.333333333	0	-0.784165193	0.375	Peripheral nodes	metabolite	CHO	C22H24O11	Lignin	-0.090909091	62.89090909	11
mass9037	6	17.13924224	498	0.114309577	0.133333333	0	-0.323536688	0	Peripheral nodes	metabolite	CHO	C23H26O10	Lignin	-0.260869565	67.73478261	11
mass9028	10	1349.402934	34407	0.103477148	0.4	0	-0.016451018	0.32	Peripheral nodes	metabolite	CHO	C22H22O11	Lignin	0	60.3	12
mass9024	13	521.2757399	6184	0.195480839	0.307692308	0	0.597720322	0.142011834	Peripheral nodes	metabolite	CHO	C21H18O12	Lignin	0.285714286	52.15714286	13
mass8886	1	0	0	3.08E-61	0	18	-1.58113883	0	Peripheral nodes	metabolite	CHO	C20H26O12	Lignin	-0.1	63.15	8
mass8882	1	0	0	4.53E-04	0	8	-1.060660172	0	Peripheral nodes	metabolite	CHO	C23H22O10	Lignin	-0.086956522	62.77826087	13
mass8879	2	198	725	2.95E-07	0	10	0.324442842	0	Peripheral nodes	metabolite	CHO	C19H22O13	Tannin	0.210526316	54.3	9
mass8874	1	0	0	2.09E-08	0	1	-1.148575792	0	Peripheral nodes	metabolite	CHO	C22H18O11	Lignin	0.181818182	55.11818182	14
mass8812	1	0	0	9.77E-87	0	52	0	0	Peripheral nodes	metabolite	CHO	C21H28O11	Lignin	-0.285714286	68.44285714	8
mass8808	1	0	0	9.77E-87	0	33	0	0	Peripheral nodes	metabolite	CHNO	C30H20O3N2	Cond Hydrocarbon	-0.266666667	67.9	22
mass8802	1	0	0	5.37E-75	0	25	0	0	Peripheral nodes	metabolite	CHNO	C33H16ON2	Cond Hydrocarbon	-0.242424242	67.20909091	27
mass8801	2	2	2	2.29E-70	0	17	1	0	Peripheral nodes	metabolite	CHNO	C29H16O4N2	Cond Hydrocarbon	-0.068965517	62.26551724	23
mass8798	1	0	0	5.37E-75	0	24	0	0	Peripheral nodes	metabolite	CHO	C23H20O10	Lignin	0	60.3	14
mass8795	19	1541.052217	20331	0.205211289	0.076023392	0	1.672520168	0	Peripheral nodes	metabolite	CHO	C19H20O13	Tannin	0.315789474	51.3	10
mass8791	1	0	0	9.77E-87	0	48	0	0	Peripheral nodes	metabolite	CHO	C22H16O11	Cond Hydrocarbon	0.272727273	52.52727273	15
mass8745	2	1	1	5.37E-75	0	23	0	0	Peripheral nodes	metabolite	CHO	C23H34O9	Lignin	-0.695652174	80.12608696	7
mass8737	1	0	0	5.37E-75	0	23	0	0	Peripheral nodes	metabolite	CHO	C22H30O10	Lignin	-0.454545455	73.25454545	8
mass8724	6	76.13683158	597	0.102504141	0.266666667	0	-0.323536688	0	Peripheral nodes	metabolite	CHO	C21H26O11	Lignin	-0.19047619	65.72857143	9
mass8721	2	0	0	1.74E-60	1	21	0	0	Peripheral nodes	metabolite	CHNO	C30H18O3N2	Cond Hydrocarbon	-0.2	66	23
mass8718	2	113.6008265	720	7.04E-06	0	2	-0.811359826	0.5	Peripheral nodes	metabolite	CHO	C20H22O12	Lignin	0.1	57.45	10
mass8712	3	0.2	1	1.55E-07	0.666666667	1	-0.235250463	0	Peripheral nodes	metabolite	CHO	C23H18O10	Cond Hydrocarbon	0.086956522	57.82173913	15
mass8710	4	106.3049756	2733	0.037889173	0.333333333	11	-1.224744871	0.375	Peripheral nodes	metabolite	CHO	C19H18O13	Tannin	0.421052632	48.3	11
mass8664	1	0	0	9.77E-87	0	64	0	0	Peripheral nodes	metabolite	CHO	C23H32O9	Lignin	-0.608695652	77.64782609	8
mass8646	1	0	0	6.67E-04	0	0	-1.091250863	0	Peripheral nodes	metabolite	CHO	C21H24O11	Lignin	-0.095238095	63.01428571	10
mass8637	10	73.50944926	948	0.161861387	0.466666667	0	0.290634652	0	Peripheral nodes	metabolite	CHO	C20H20O12	Lignin	0.2	54.6	11
mass8591	3	3	3	3.96E-68	0	20	1.732050808	0	Peripheral nodes	metabolite	CHO	C24H34O8	Lignin	-0.75	81.675	8
mass8583	1	0	0	9.77E-87	0	60	0	0	Peripheral nodes	metabolite	CHO	C23H30O9	Lignin	-0.52173913	75.16956522	9
mass8558	7	65.56410256	2830	0.071397539	0.666666667	0	-0.169993853	0	Peripheral nodes	metabolite	CHO	C20H18O12	Lignin	0.3	51.75	12
mass8499	1	0	0	3.96E-68	0	20	-0.577350269	0	Peripheral nodes	metabolite	CHO	C23H28O9	Lignin	-0.434782609	72.69130435	10
mass8486	4	0	0	2.35E-36	1	15	-0.447213595	0	Peripheral nodes	metabolite	CHO	C21H20O11	Lignin	0.095238095	57.58571429	12
mass8481	16	936.7480304	18359	0.223817051	0.3	0	1.211891662	0	Peripheral nodes	metabolite	CHO	C20H16O12	Lignin	0.4	48.9	13
mass8430	2	1	2	5.49E-61	0	18	0	0	Peripheral nodes	metabolite	CHO	C20H30O11	Protein	-0.4	71.7	6
mass8419	1	0	0	3.72E-05	0	8	-1.060660172	0	Peripheral nodes	metabolite	CHNO	C32H18ON2	Cond Hydrocarbon	-0.3125	69.20625	25
mass8415	5	43.77170635	402	0.091886345	0.2	0	-0.477079523	0	Peripheral nodes	metabolite	CHO	C22H22O10	Lignin	-0.090909091	62.89090909	12
mass8411	3	0	0	1.82E-36	1	15	-1.788854382	0	Peripheral nodes	metabolite	CHO	C21H18O11	Lignin	0.19047619	54.87142857	13
mass8347	2	2	2	2.29E-70	0	16	1	0	Peripheral nodes	metabolite	CHO	C16H28O14	Carbohydrate	0	60.3	3
mass8342	1	0	0	3.37E-05	0	1	-1.148575792	0	Peripheral nodes	metabolite	CHNO	C32H16ON2	Cond Hydrocarbon	-0.25	67.425	26
mass8338	4	470.5163721	6409	3.02E-05	0.166666667	1	-0.691913128	0.625	Connectors	metabolite	CHO	C22H20O10	Lignin	0	60.3	13
mass8334	4	0.034482759	1	0.075645581	0.833333333	0	-0.630622358	0	Peripheral nodes	metabolite	CHO	C21H16O11	Cond Hydrocarbon	0.285714286	52.15714286	14
mass8294	1	0	0	9.77E-87	0	52	0	0	Peripheral nodes	metabolite	CHO	C21H30O10	Lignin	-0.476190476	73.87142857	7
mass8286	1	0	0	5.37E-75	0	24	0	0	Peripheral nodes	metabolite	CHO	C20H26O11	Lignin	-0.2	66	8
mass8285	1	0	0	9.77E-87	0	51	0	0	Peripheral nodes	metabolite	CHNO	C29H18O3N2	Cond Hydrocarbon	-0.206896552	66.19655172	22
mass8284	1	0	0	9.77E-87	0	50	0	0	Peripheral nodes	metabolite	CHO	C23H22O9	Lignin	-0.173913043	65.25652174	13
mass8281	2	0.5	1	4.28E-61	0	18	0	0	Peripheral nodes	metabolite	CHNO	C32H14ON2	Cond Hydrocarbon	-0.1875	65.64375	27
mass8275	4	225.6102596	2989	3.50E-06	0.5	1	0.221412201	0	Peripheral nodes	metabolite	CHO	C22H18O10	Lignin	0.090909091	57.70909091	14
mass8226	1	0	0	5.37E-75	0	31	0	0	Peripheral nodes	metabolite	CHO	C22H32O9	Lignin	-0.636363636	78.43636364	7
mass8216	1	0	0	2.96E-12	0	5	-0.928476691	0	Peripheral nodes	metabolite	CHO	C21H28O10	Lignin	-0.380952381	71.15714286	8
mass8209	2	0	0	0.007875296	1	0	-0.937708028	0	Peripheral nodes	metabolite	CHO	C20H24O11	Lignin	-0.1	63.15	9
mass8204	5	1281.205173	5774	3.63E-06	0	10	1.45999279	0.56	Peripheral nodes	metabolite	CHO	C19H20O12	Lignin	0.210526316	54.3	10
mass8162	1	0	0	2.42E-13	0	5	-0.928476691	0	Peripheral nodes	metabolite	CHO	C22H30O9	Lignin	-0.545454545	75.84545455	8
mass8155	1	0	0	5.37E-75	0	28	0	0	Peripheral nodes	metabolite	CHO	C21H26O10	Lignin	-0.285714286	68.44285714	9
mass8149	4	1982.234018	24061	0.052874332	0	0	-0.784165193	0.375	Peripheral nodes	metabolite	CHO	C20H22O11	Lignin	0	60.3	10
mass8141	2	5.5	11	1.09E-06	0	2	-0.449368519	0	Peripheral nodes	metabolite	CHO	C19H18O12	Lignin	0.315789474	51.3	11
mass8092	1	0	0	3.94E-04	0	3	-0.940646987	0	Peripheral nodes	metabolite	CHO	C21H24O10	Lignin	-0.19047619	65.72857143	10
mass8085	7	65.56410256	2830	0.071397539	0.666666667	0	-0.169993853	0	Peripheral nodes	metabolite	CHO	C20H20O11	Lignin	0.1	57.45	11
mass8078	10	116.1048828	2558	0.155861615	0.4	0	0.137091817	0.18	Peripheral nodes	metabolite	CHO	C19H16O12	Lignin	0.421052632	48.3	12
mass8033	1	0	0	9.77E-87	0	44	0	0	Peripheral nodes	metabolite	CHO	C20H34O10	Protein	-0.7	80.25	4
mass8031	1	0	0	7.26E-11	0	6	-1.335646142	0	Peripheral nodes	metabolite	CHO	C23H30O8	Lignin	-0.608695652	77.64782609	9
mass8015	1	0	0	1.14E-04	0	3	-0.940646987	0	Peripheral nodes	metabolite	CHO	C21H22O10	Lignin	-0.095238095	63.01428571	11
mass8009	7	65.56410256	2830	0.071397539	0.666666667	0	-0.169993853	0	Peripheral nodes	metabolite	CHO	C20H18O11	Lignin	0.2	54.6	12
mass7954	1	0	0	9.77E-87	0	42	0	0	Peripheral nodes	metabolite	CHO	C20H32O10	Protein	-0.6	77.4	5
mass7948	1	0	0	9.77E-87	0	41	0	0	Peripheral nodes	metabolite	CHO	C23H28O8	Lignin	-0.52173913	75.16956522	10
mass7929	1	0	0	1.97E-04	0	11	-1.224744871	0	Peripheral nodes	metabolite	CHO	C21H20O10	Lignin	0	60.3	12
mass7922	12	214.7801537	2108	0.180318035	0.424242424	0	0.597720322	0	Peripheral nodes	metabolite	CHO	C20H16O11	Lignin	0.3	51.75	13
mass7876	1	0	0	9.77E-87	0	54	0	0	Peripheral nodes	metabolite	CHO	C21H34O9	Protein	-0.761904762	82.01428571	5
mass7870	1	0	0	5.37E-75	0	27	0	0	Peripheral nodes	metabolite	CHO	C20H30O10	Protein	-0.5	74.55	6
mass7857	2	0	0	4.55E-52	1	7	-0.39223227	0	Peripheral nodes	metabolite	CHO	C15H26O14	Carbohydrate	0.133333333	56.5	3
mass7774	1	0	0	9.77E-87	0	39	0	0	Peripheral nodes	metabolite	CHO	C16H28O13	Carbohydrate	-0.125	63.8625	3
mass7768	4	2912.206851	29006	4.67E-04	0.166666667	8	1.060660172	0.375	Peripheral nodes	metabolite	CHO	C19H24O11	Lignin	-0.105263158	63.3	8
mass7767	4	13.5	15	1.38E-51	0.166666667	7	1.568929081	0	Peripheral nodes	metabolite	CHNO	C28H16O3N2	Cond Hydrocarbon	-0.142857143	64.37142857	22
mass7766	1	0	0	9.77E-87	0	50	0	0	Peripheral nodes	metabolite	CHO	C22H20O9	Lignin	-0.090909091	62.89090909	13
mass7761	2	198	584	4.10E-04	0	19	0	0	Peripheral nodes	metabolite	CHNO	C31H12ON2	Cond Hydrocarbon	-0.129032258	63.97741935	27
mass7756	5	0.666666667	2	2.69E-36	0.8	15	0.894427191	0	Peripheral nodes	metabolite	CHO	C21H16O10	Cond Hydrocarbon	0.19047619	54.87142857	14
mass7754	1	0	0	5.37E-75	0	26	0	0	Peripheral nodes	metabolite	CHO	C17H16O13	Tannin	0.588235294	43.53529412	10
mass7679	3	395	1607	3.00E-12	0	5	1.299867367	0	Peripheral nodes	metabolite	CHO	C20H26O10	Lignin	-0.3	68.85	8
